Nova Sequência 2016
000_Coleções
002_Documentação_ Metodologia
004_Informática
028.5_Infantil
030_Enciclopédias
036.9_Curiosidades
038_Dicionários
069_Museus
070_Jornalismo
100_Filosofia
"133_Esoterismo (astrologia,almas gêmeas, alquimia, anjos, numerologia, piramides, profecias, sonhos, taro)"
133.9_Espiritismo
134_Umbanda e Candomblé
150_PSICOLOGIA GERAL
"150.195_Sistemas psicoanalíticos / Psicoanálise (Freud, Jung, Fromm)"
150.724_Pesquisa em Psicologia
"152.3_Movimentos e função motora ( reflexo, coordenação, locomoção)"
"152.4 – Emoções e sentimentos (Amor e Afeição, Prazer, Felicidade, Alegria, Humor, Medo, Ansiedade, Preocupação, Raiva, Frustração, Ciúme, Inveja) (Casais, relacionamentos)"
"153_Processos mentais e inteligência / Psicologia cognitiva, Memória e aprendizagem, Formação e associação de idéias, Imaginação e criatividade,   Intuição, pensamento, valor, julgamento, Pensamento, Racíocínio, Valor,Julgamento, Comunicação, Percepção, Vontade, força de vontade, Inteligência e atitudes, Testes de inteligência e personalidade,  Testes de aptidão e vocacionais (Psicologia Educacional)"
"154 – Subconsciente e estados e processos alterados (Sonhos, Fantasias, Devaneios, Estados alterados da consciência ( por uso de drogas, alucinações), Fenômenos do sono, Sonhos, Sonambulismo, hipnotismo)"
155.2 – Psicologia individual  / Personalidade (comportamento)
155.282_Grafologia
155.3 – Sexualidade
155.4 – Psicologia infantil   /    Psicologia do desenvolvimento
155.45 – Crianças excepcionais
155.5 – Psicologia do adolescente
155.6 – Psicologia do adulto (Maturidade)
155.632 – Homens
155.633 – Mulheres
"158 – Psicologia aplicada  (Auto ajuda / Aperfeiçoamento pessoal / Equilíbrio pessoal, Meditação transcendental, Meditação, Relações humanas / Valores éticos (amizade, cooperação, diálogo, respeito, responsabilidade, etc.),  Aconselhamento psicológico, Chefia, Negociação, Interesse vocacional – Orientação vocacional, Psicologia industrial (  Stress do trabalho )"
174.2_Bioética
200_Religião
"255_Cultura Oriental (Religiões não-cristãs, Buda)"
288_Seicho-No-Ie
289_Maçonaria
301_Antropologia
302_Sociologia
304.2_Globalização
304.8_Imigração
306.48_Turismo
307.1_Itatiba
316.63_Consciência Negra
320_Política
323.6_Cidadania
330_Economia
340_Direito
351_Administração Pública
360_Problemas Sociais
363.372_Água e Saneamento
370_Educação
"000_Coleção Especial ""Salim Andraus Júnior"""
371.3_TCC
"371.9_Educação Especial (Libras, Pessoas Cegas, deficiências)"
372_Didáticos Diversos
372.2_Vestibular
374_EJA
378_Concursos
395_Etiqueta
398_Folclore
398.209_Mitologia
398.8_Cordel
400_Coleção de autores
401_Crítica Literária
410_Linguistica
420_Línguas Inglês
430_Línguas Alemão
440_Línguas Francês
450_Línguas Italiano
460_Línguas Espanhol
470_Latim
490_Outras línguas
"500_Ciências (Darwinismo, Astronomia)"
"510_Matemática (Matemática Financeira, algebra, cálculo, geometria, estatistica)"
510.9_História Matemática
530_Física
540_Química
551_Geologia
"570_Biologia (citologia, bioquimica)"
577_Ecologia
580_Botânica
590_Zoologia
610_Medicina / Enfermagem
611_Anatomia
612_Fisiologia
"613_Saúde / Nutrição (dieta, hábitos alimentares, higiene pessoal, sexualidade)"
"615_Farmacologia (medicina alternativa, remédios de plantas medicinais)"
615.89_Práticas Orientais
616_Doenças
616.89_PsIquiatria
618_Puericultura
"620_Engenharias (Eletronica, Civil, )"
630_Agricultura
636.7_ANIMAIS DOMÉSTICOS
646_Moda
649_Culinária
657_Contabilidade
658_Administração
658.4_Oratória e Liderança
659_Publicidade e Propaganda
670_Artes Industriais
"700_Artes (Geral, brasileira, pintura, escultura)"
720_Arquitetura
740_Desenho
