,name,birth_death,pha,pha_label,observation
,"Aiub, José Eduardo",,258,A258,
,"Ajayi, J. F. A.",,261,A261,
,"Ajzenberg, Bernardo",,263,A263,
,"Akhtar, Maha",,267,A267,
,"Akunin, Boris",,267,A267,
,"Al Sau, Fahd bin Abdul Aziz",,462,A462,
,"Alaiz, Atilano",,273,A273,
,"Alambert, Francisco",,274,A274,
,"Alamy Filho, João",,275,A275,
,"Alarcão, Isabel",,278,A278,
,"Alarcón, Pedro de",,278,A278,
,"Albala-Bertrand, Luis",,284,A284,
,"Albalat, Antoine",,284,A284,
,"Albee, Edward",,288,A288,
,"Albérès, R. M.",,288,A288,
,"Albergaria, Lino de",,288,A288,
,"Alberigo, Giuseppe ",,288,A288,
,"Alberoni, Francesco",,288,A288,
,"Albertalli, Becky",,289,A289,
,"Alberto, José",,29,A29,
,"Alberton, Padre Valério",,291,A291,
,"Alberts, Carlos C.",,292,A292,
,Albigenor,,294,A294,
,"Albisetti, Valerio",,295,A295,
,"Albissú, Nelson",,295,A295,
,"Albom, Mitch",,295,A295,
,"Albuquerque Júnior, Durval Muniz de",,31,A31,
,"Albuquerque, A. Tenório de",,298,A298,
,"Albuquerque, Eliana Garcia Farias de",,299,A299,
,"Albuquerque, Flávia",,31,A31,
,"Albuquerque, Jamil",,31,A31,
,"Albuquerque, José Augusto Guilhon ",,31,A31,
,"Albuquerque, Lina de",,311,A311,
,"Albuquerque, Marcos Cintra Cavalcanti de ",,311,A311,
,"Albuquerque, Paulo de Medeiros",,312,A312,
,"Albuquerque, Paulo F.",,312,A3121,DECIMAL ADICIONADO
,"Albuquerque, Ulysses Lins de",,314,A314,
,"Alcântara, Araquém",,318,A318,
,"Alcântara, Candice",,318,A318,
,"Alcântara, Eurípedes",,318,A318,
,"Alcântara, Mamede de",,319,A319,
,"Alckimin, Maria Lúcia Ribeiro",,33,A33,
,"Alcoforado, Fernando",,331,A331,
,"Alcoforado, Mariana [Soror Mariana Alcoforado]",,331,A331,
,"Alcott, Louisa May",,332,A332,
,"Aldanov, Mark",,333,A333,
,Alderígi,,335,A335,
,"Aldiss, Brian",,336,A336,
,"Aldouby, Zwy",,337,A337,
,"Aldrovandi, Elaine",,341,A341,
,"Alegre, Apolinário Porto",,344,A344,
,"Alegre, Manuel",,344,A344,
,"Alegria, João",,346,A346,
,"Aleixo, Joel",,348,A348,
,"Aleksiévitch, Svetlana",,35,A35,
,"Alemany, Cristina",,351,A351,
,"Alencar Filho, Edgard de",,353,A353,
,"Alencar, César de",,353,A3531,DECIMAL ADICIONADO
,"Alencar, Chico",,353,A353,
,"Alencar, Edigar de",,353,A353,
,"Alencar, Eunice M. L. Soriano de",,353,A353,
,"Alencar, Francisco",,353,A353,
,"Alencar, Geraldo",,353,A353,
,"Alencar, Jackson",,353,A353,
,"Alencar, José de",,353,A353,
,"Alencar, Marcos",,354,A354,
,"Alexander III, Eben",,367,A367,
,"Alexander, Jan",,367,A367,
,"Alexander, Jane",,367,A367,
,"Alexander, L. G.",,367,A367,
,"Alexander, V. S.",,368,A368,
,Alexandre [o grande],,369,A369,
,"Alexandri, Ferran",,371,A371,
,"Alexandria, Lina de",,371,A371,
,"Alexandrino, Helena",,371,A371,
,"Alexandrino, Marcelo",,371,A371,
,Aléxia,,371,A371,
,"Algarra, Alejandro",,382,A382,
,"Algisi, Leone",,383,A383,
,"Ali, Fatima",,389,A389,
,"Ali, M. Said",,389,A389,
,"Ali, Tariq",,389,A389,
,"Alighieri, Dante",,399,A389,
,"Alimonda, Héctor",,41,A41,
,"Al-Khalili, Jim",,415,A415,
,"Al-Khudayri, Tariq",,417,A417,
,"Allagayer, Antônio Estêvão",,418,A418,
,"Allan, Tony",,42,A42,
,"Allen Junior, John  L.",,427,A427,
,"Allen, Charles",,427,A427,
,"Allen, Clark Lee",,427,A427,
,"Allen, David",,427,A427,
,"Allen, Jerry",,427,A427,
,"Allen, John",,427,A427,
,"Allen, Woody",,428,A428,
,"Allende, Isabel",,428,A428,
,"Allenspach, Victor",,428,A428,
,"Allers, Rudolph",,429,A429,
,"Allessandrini, Cristina Dias",,43,A43,
,"Alley, R. W.",,43,A43,
,"Alley, Robert",,43,A43,
,"Alliluyeva, Svetlana",,433,A433,
,"Allingham, Margery",,434,A434,
,"Allport, Gordon W.",,439,A439,
,"Almarcegui, Lara",,443,A443,
,"Almeida Júnior, A.",,448,A448,
,"Almeida Júnior, José",,448,A448,
,"Almeida, Ademir de",,444,A444,
,"Almeida, Amylton de",,444,A444,
,"Almeida, Antônio Carlos de ",,444,A444,
,"Almeida, Antônio da Rocha",,444,A444,
,"Almeida, Antonio Fernando de",,444,A444,
,"Almeida, Antonio José",,444,A444,
,"Almeida, Antonio Luiz Mendes de",,444,A444,
,"Almeida, Arlenice",,444,A444,
,"Almeida, Assis",,444,A444,
,"Almeida, Cândido José Mendes de",,445,A445,
,"Almeida, Cecília M. V. B. de",,445,A445,
,"Almeida, Ceciliano Abel de",,445,A445,
,"Almeida, Elenice Machado de",,446,A446,
,"Almeida, Elizabeth Crepaldi",,446,A446,
,"Almeida, Fernanda Lopes de",,446,A446,
,"Almeida, Fernando",,446,A446,
,"Almeida, Fernando José de",,446,A446,
,"Almeida, Floriana Mattos",,446,A446,
,"Almeida, Giovane",,447,A447,
,"Almeida, Guido de",,447,A447,
,"Almeida, Guilherme de",,447,A447,
,"Almeida, Ivan Engler de",,447,A447,
,"Almeida, João Carlos",,448,A448,
,"Almeida, Joaquim Anécio",,448,A448,
,"Almeida, Jorge",,448,A448,
,"Almeida, José Américo de",,448,A448,
,"Almeida, Júlia Lopes de ",,448,A4481,
,"Almeida, Laurinda Ramalho de",,448,A448,
,"Almeida, Lúcia Machado de",,448,A448,
,"Almeida, Lúcia Marina Alves de",,448,A448,
,"Almeida, Manuel Antonio de",,449,A449,
,"Almeida, Marcelo Cavalcanti",,449,A449,
,"Almeida, Marcos Bezerra de",,449,A449,
,"Almeida, Maria Elizabeth de",,449,A449,
,"Almeida, Maria Goreti Abreu de",,449,A449,
,"Almeida, Marilia",,449,A449,
,"Almeida, Maurício de",,449,A449,
,"Almeida, Napoleão Mendes de",,449,A449,
,"Almeida, Nílson Teixeira de",,449,A449,
,"Almeida, Paulo Mendes de",,45,A45,
,"Almeida, Paulo Nunes",,45,A45,
,"Almeida, Pedro",,45,A45,
,"Almeida, Pires de ",,45,A45,
,"Almeida, Rogério M. de",,45,A45,
,"Almeida, Rosângela D. de ",,45,A45,
,"Almeida, Walnice",,452,A452,
,"Almond, David",,456,A456,
,"Al-Neimi, Salwa",,456,A456,
,"Aloe, Armando",,457,A457,
,"Aloha, Sophia",,457,A457,
,"Alonso, Martins",,46,A46,
,"Alonso, Myrtes",,46,A46,
,"Alonso, Silvia",,46,A46,
,"Alphen, Pauline",,461,A461,
,"Alpino, Alberto",,461,A461,
,"Alsamari, Lewis",,462,A462,
,"Alsanea, Rajaa",,462,A462,
,"Alszeghy, Z.",,462,A462,
,"Altavila, Jayme de",,463,A463,
,"Alten, Steve",,464,A464,
,"Altenfelder, Ruy",,464,A464,
,"Alther, Lisa",,469,A469,
,"Althouse, Larry",,469,A469,
,"Althuon, Beate G.",,469,A469,
,"Althusser, Louis",,469,A469,
,"Altman, Leon L.",,469,A469,
,"Altman, Thomas",,469,A469,
,"Alvarado, Maite",,469,A469,
,"Alvarenga, Brasílio Nunes de",,47,A47,
,"Alvarenga, Jenner Procópio",,47,A47,
,"Alvarenga, José",,47,A47,
,"Alvarenga, Manuel Ignacio da Silva ",,471,A471,
,"Alvarenga, Rosângela",,471,A471,
,"Alvarenga, Terezinha",,471,A471,
,"Álvarez Méndez, J. M.",,475,A475,
,"Alvarez, Analy",,474,A474,
,"Alvarez, Aparecida Magali de Souza",,474,A474,
