,name,birth_death,pha,pha_label,observation
,"Charlier, René Joseph",,435,C435,
,"Charlot, Bernard",,435,C435,
,"Charmeux, Eveline",,435,C435,
,"Charney, Noah",,435,C435,
,"Charriére, Henri",,435,C435,
,"Chartier, Anne-Marie",,435,C435,
,"Charton, M. Édouard",,435,C435,
,"Chartrand, Lili",,435,C435,
,"Chartuni, Maria Helena",,435,C435,
,"Chase, Emma",,436,C436,
,"Chase, James Hadley",,436,C436,
,"Chase, Loretta",,436,C4361,DECIMAL ADICIONADO
,"Chassot, Attico Inácio",,436,C436,
,"Château, Jean",,437,C437,
,"Chateaubriand, Assis",,437,C437,
,"Chateaubriand, Betty",,437,C437,
,"Châtelet, François",,437,C437,
,"Chaucer, Geoffrey",,437,C437,
,"Chaudhuri, Haridas",,437,C437,
,"Chaui, Marilena",,437,C437,
,"Chaunu, Pierre",,437,C437,
,"Chaussinand-Nogaret, Guy",,437,C437,
,"Chavarria, Geraldo",,437,C437,
,"Chave-Jones, Myra",,437,C437,
,"Chaves, Carmelita",,438,C438,
,"Chaves, Cida",,438,C438,
,"Chaves, Eduardo O. C.",,438,C438,
,"Chaves, Iduina Mont'Alverne",,438,C438,
,"Chaves, Jober",,438,C438,
,"Chaves, José Reis",,438,C438,
,"Chaves, Juca",,438,C438,
,"Chaves, Leo",,439,C439,
,"Chaves, Rita",,439,C439,
,"Chaves, Roberto",,439,C439,
,"Chaves, Sérgio",,439,C439,
,"Chávez, Hugo",,439,C439,
,"Chazan, Fernanda",,439,C439,
,"Chbosky, Stephen",,439,C439,
,"Chediak, Braz",,444,C444,
,"Cheek, Mavis",,444,C444,
,"Cheetham, Erika",,444,C444,
,"Cheever, John",,444,C444,
,"Cheida, Luiz Eduardo",,444,C444,
,"Chemello, Tereza Elisa",,446,C446,
,"Chen, Da",,447,C447,
,"Cheney, Terri",,447,C447,
,"Cherbuliez, Victor",,449,C449,
,"Cherng, Wu Jyh",1958-2004,449,C449,
,"Cherry, Debbie",,449,C449,
,"Cherry, Lynne",,449,C449,
,"Chesbro, George C.",,45,C45,
,"Chesneaux, Jean",,45,C45,
,"Chester, Michael",,45,C45,
,"Chesterton, G. K.",,45,C45,
,"Cheung, Theresa",,451,C451,
,"Cheung, Theresa Francis",,451,C451,
,"Chevalier, Danielle",,452,C452,
,"Chevallier, Jean-Jacques",,452,C452,
,"Cheverton, Mark",,452,C452,
,"Chevrot, Georges",,452,C452,
,"Cheynet, Ettore",,452,C452,
,"Chia, Mantak",,453,C453,
,"Chianca, Leonardo",,454,C454,
,"Chianca, Ruy",,454,C454,
,"Chianca, Thomaz",,454,C454,
,"Chiappini, Ligia",,455,C455,
,"Chiara, Piero",,455,C455,
,"Chiarelli, Tadeu",,455,C455,
,"Chiavegato, Augusto José ",,458,C458,
,"Chiavenato, Idalberto",,458,C458,
,"Chiavenato, Julio José",,458,C458,
,"Chick, Victória",,46,C46,
,"Chiera, Renato",,462,C462,
,"Chierighini, Hélio",,462,C462,
,"Chilcote, Ronald H.",,464,C464,
,"Child, Lauren",,464,C464,
,"Child, Lee",,464,C464,
,"Childress, David Hatcher",,464,C464,
,"Chimenti, Ricardo Cunha",,465,C465,
,"Chimenti, Silvia",,465,C465,
,"Ching, Hong Yuh",,466,C466,
,"Chinoy, Ely",,466,C466,
,"Chiossi, Nivaldo José",,467,C467,
,"Chiozza, Luiz A.",,467,C467,
,"Chipponeri, Kelli",,468,C468,
,"Chittenden, Margaret",,471,C471,
,"Chiuchiù, Angelo",,471,C471,
,"Chizzotti, Antonio",,471,C471,
,"Chnee, Vitor Alexandre",,472,C472,
,"Chodron, Pema",,473,C473,
,"Choisy, Abbé de",,473,C473,
,"Chomsky, Noam",,474,C474,
,"Chopin, Frederic",,476,C76,
,"Chopra, Deepak",,476,C76,
,"Chopra, Krishan",,476,C76,
,"Chowdhury, Subir",,477,C477,
,"Chown, Xanna",,477,C477,
,"Chrétien, Claude",,477,C477,
,Chrispino,,478,C478,
,"Christ, G. Elgie",,479,C479,
,"Christie, Agatha",,479,C479,
,"Christo, Maria Stella Libânio",,48,C48,
,"Christofoletti, Antonio",,48,C48,
,"Christopher, Martin",,48,C48,
,"Chu, Chin-Nig",,483,C483,
,"Chumer, Alfredo C. F.",,488,C488,
,Chun En-Lai,,488,C488,
,"Church, Nancy",,488,C488,
,"Churchill Junior, Gilbert A.",,488,C488,
,"Churchill, Winston S.",,488,C488,
,"Cianciosi, John",,494,C494,
,"Cibiac, Branda",,498,C498,
,"Cibulares, Maurício",,498,C498,
,"Cicarelli, João Marcos",,499,C499,
,"Cícero, Marco Túlio",,499,C499,
,"Cid, Marcelo",,51,C51,
,"Cilto, Eduardo",,514,C514,
,"Ciment, Michel",,515,C515,
,"Cintra, Antonio Carlos de Araújo",,518,C518,
,"Cintra, Benedito Eliseu Leite",,518,C518,
,"Cintra, José Carlos A.",,519,C519,
,"Cintra, Manuel Pedro da Cunha, Bispo de Petrópolis",,52,C52,
,"Cintra, Sônia",,521,C521,
,"Cipelli, Antonio Marco Vicari",,523,C523,
,"Cipis, Marcelo",,523,C523,
,"Cipro Neto, Pasquale",,523,C523,
,"Cirillo, Jena",,525,C525,
,"Cirlot, Juan-Eduardo",,525,C525,
,"Cisalpino, Murilo",,527,C527,
,"Citadini, Antonio Roque",,528,C528,
,"Citelli, Adilson",,528,C528,
,"Citelli, Beatriz",,528,C528,
,"City, Elizabeth A.",,528,C528,
,"Civita, Richard",,529,C529,
,"Civita, Roberto",,529,C529,
,"Civita, Victor",,529,C529,
,"Civitate, Héctor",,529,C529,
,"Cizotto, Elso",,529,C529,
,"Clancy, Tom",,537,C537,
,"Claparède, Edouard",,538,C538,
,"Clapton, Eric",,538,C538,
,"Clare, Cassandra",,541,C541,
,"Clare, George",,541,C541,
,"Clark, Georgia",,543,C543,
,"Clark, Kenneth",,543,C543,
,"Clark, Margareth",,544,C544,
,"Clark, Mary Higgins",,544,C544,
,"Clark, Walter",,544,C544,
,"Clarke, Arthur C.",,545,C545,
,"Clarke, Barry",,545,C545,
,"Clarke, David",,545,C545,
,"Clarke, Patrick Joseph",,546,C546,
,"Claro, Izaias",,547,C547,
,"Claro, Majori",,547,C547,
,"Claro, Milton",,547,C547,
,"Claro, Regina",,547,C547,
,"Clason, George S.",,55,C55,
,"Claudel, Camille",,553,C553,
,"Claudel, Paul",,553,C553,
,"Claudino, Salvato",,553,C553,
,"Clavell, James",,555,C555,
,"Claver, Ronald",,555,C555,
,"Clavreul, Jean",,555,C555,
,"Clayton, Alice",,558,C558,
,"Clayton, Peter A.",,558,C558,
,"Cleary, Thomas",,56,C56,
,"Cleave, Chris",,56,C56,
,"Cleave, Paul",,56,C56,
,"Cleffi, Norma Maria",,56,C56,
,"Clegg, Bill",,561,C561,
,"Cleiton, Hillary Rodham",,562,C562,
,"Clemens, John",,563,C563,
,"Clément, Catherine",,563,C563,
,"Clements, Phil",,563,C563,
,"Clemes, Harris ",,563,C563,
,"Clench, James",,565,C565,
,Cleópatra,,565,C565,
,"Cléro, Claude",,566,C566,
,"Cline, Emma",,572,C5721,DECIMAL ADICIONADO
,"Cline, Ernest",,572,C572,
,"Clinton, Bill",,572,C572,
,"Clissold, Lorraine",,575,C575,
,"Cloete, Stuart",,577,C577,
,"Clos, Max",,578,C578,
,"Clostermann, Pierre",,578,C578,
,"Clot, Yves",,578,C578,
,"Clough, Joanne",,578,C578,
,Clube Criação de São Paulo,,579,C579,
,"Clutterbuck, Richard",,579,C579,
,"Clutton-Brock, Juliet",,579,C579,
,CNBB ,,,,
,"Coben, Harlan",,586,C586,
,"Cobra, Marcos",,589,C589,
,"Cobra, Nuno",,589,C589,
,"Cócco, Maria Fernandes",,592,C592,
,"Cochrane, James",,593,C593,
,"Cockerell, Lee",,595,C595,
,"Cockrell, Stacie",,595,C595,
,"Cocteau, Jean",,596,C596,
,"Cocuzza, Felippe",,596,C596,
,"Codo, Wanderley",,611,C611,
,"Cody, Frank",,612,C612,
,"Coe, Jonathan",,613,C613,
,"Coelho Netto, Paulo",,618,C618,
,"Coelho, A. do Prado",,614,C614,
,"Coelho, Adriano",,614,C614,
,"Coelho, Antônio Sebastião Rensi",,614,C614,
,"Coelho, Aristides Pinto",,614,C614,
,"Coelho, Betty",,614,C614,
,"Coelho, Eliana Machado",,615,C615,
,"Coelho, Fernando",,616,C616,
,"Coelho, Jacinto do Prado",,617,C617,
,"Coelho, João",,617,C617,
,"Coelho, Luiz Lopes",,617,C617,
,"Coelho, Maria Alice",,618,C618,
,"Coelho, Maria Gertrudes",,618,C618,
,"Coelho, Nelly Novaes",,618,C618,
,"Coelho, Nelson",,618,C618,
,"Coelho, Paulo",,619,C619,
,"Coelho, Rogério",,619,C619,
,"Coelho, Ronaldo Simões",,619,C619,
,"Coelho, Silvio Teixeira",,62,C62,
,"Coelho, Simone de Castro Tavares",,62,C62,
,"Coelho, Teixeira",,621,C621,
,"Coelho, Trindade",,621,C621,
,"Cohen, Bruce J.",,628,C628,
,"Cohen, Claudio",,628,C628,
,"Cohen, David",,628,C628,
,"Cohen, Ernesto",,628,C628,
,"Cohen, Herb",,628,C628,
,"Cohen, I. Bernard",,628,C628,
,"Cohen, Marleine",,628,C628,
,"Cohen, Miriam",,628,C628,
,"Cohen, Otavio",,628,C628,
,"Cohen, Percy S.",,628,C628,
,"Cohen, Stephen Paul",,628,C628,
,"Cohen-Coudar, Corinne",,628,C628,
,"Cohen-Solal, Annie",,628,C628,
,"Cohn, Clarice",,629,C629,
,"Cohn, Glaucia",,629,C629,
,"Coimbra, Carlos",,633,C633,
,"Coimbra, Cecília Maria Bouças",,633,C633,
,"Coimbra, Maria de Lourdes R.",,634,C634,
,"Coimbra, Ricardo",,635,C635,
,"Coimbra, Silvia Rodrigues",,635,C635,
,"Coimbra, Thaís",,635,C635,
,"Coin, Cristina",,636,C636,
,"Colasanti, Marina",,65,C65,
,"Colasanti, Susane",,65,C65,
,"Colbert, David",,652,C652,
,"Colbert, Felipe",,652,C652,
,"Cole, Daniel",,655,C655,
,"Cole, Edwin Louis",,655,C655,
,"Cole, Joanna",,655,C655,
,"Cole, Paul Louis",,655,C655,
,"Cole, Steve",,655,C655,
,"Cole, Tillie",,655,C655,
,Colégio Etapa,,555,C655,
,"Colegrave, Sukie",,655,C655,
,"Coleman, James  Covington",,656,C656,
,"Coleman, Vernon",,656,C656,
,"Coles, Robert",,657,C657,
,"Colette, Gabrielle S.",,658,C658,
,"Colfer, Chris",,658,C6581,DECIMAL ADICIONADO
,"Colfer, Eoin",,658,C658,
,"Colgan, Jenny",,659,C659,
,"Coli, Jorge",,66,C66,
,"Colin, Flávio",,66,C66,
,"Coll, César",,661,C661,
,"Collange, Christiane",,664,C664,
,"Collen, Paulo",,668,C668,
,"Colley, Russell H.",,671,C671,
,"Colli, Fernando Anthero Galvão",,672,C672,
,"Colli, José Alexandre ",,672,C672,
,"Collier, Richard",,672,C672,
,"Collins, Anne",,674,C674,
,"Collins, Francis S.",,674,C674,
,"Collins, Jim",,674,C674,
,"Collins, Suzanne",,674,C674,
,"Collins, Wilkie",,674,C674,
,"Collodi, Carlo",,675,C675,
,"Colnago, Rodrigo",,678,C678,
,"Colom, Roberto",,68,C68,
,"Colombain, Jérôme",,68,C68,
,"Colombini, Fabio",,682,C682,
,"Colombo, Cristóvão",,684,C684,
,"Colombo, Pedro",,688,C688,
,"Colucci, Maristela",,714,C714,
,"Colvin, Leslie",,717,C717,
,"Comba, Padre Júlio",,723,C723,
,"Combes, Louis",,723,C723,
,"Combesque, Marie Agnès",,723,C723,
,"Comblin, Padre Joseph",,723,C723,
,"Coménio, João Amós",,725,C725,
,"Comer, Douglas E.",,725,C725,
,"Cominatto, Lúcia",,727,C727,
,"Comini, Claudio",,727,C727,
,Comissão de Saúde do Adolescente,,727,C727,
,Comissão Permanente para os Vestibulares da UNICAMP,,727,C727,
,Comitê Sôbre Adolescência do Grupo para o Adiamento da Psiquiatria,,727,C727,
,"Commbs, Philip H.",,727,C727,
,"Commelin, P.",,727,C727,
,"Comparato, Doc",,731,C731,
,"Comparato, Fábio Konder",,731,C731,
,"Compri, Maria Tonietti",,736,C736,
,"Comte, Auguste",,739,C739,
,"Comte-Sponville, André",,739,C739,
,Comunidade Educativa Cedac,,739,C739,
,"Condé, José",,749,C749,
,"Condemi, Silvana",,75,C75,
,Condessa de Carnavon,,75,C75,
,"Condie, Allyson Braithwaite",,751,C751,
,"Condillac, Étiene Nonnot de",,751,C751,
,"Condini, Paulo",,751,C751,
,"Condron, Barbara",,752,C752,
,"Conduru, Roberto",,753,C753,
,Confederação da Maçonaria Simbólica do Brasil,,758,C758,
,Conferência Nacional dos Bispos do Brasil,,758,C758,
,"Conforti, Corrado",,759,C759,
,Confúncio,,759,C759,
,"Conger, John",,759,C759,
,"Congílio, Mariazinha",,759,C759,
,Congresso Brasileiro de Etnomatemática,,759,C759,
,"Conklin, Robert",,761,C761,
,"Conley, Bayless",,761,C761,
,"Connell Jr, Evan S.",,762,C762,
,"Connellan, Tom",,762,C762,
,"Connelly, Michael",,762,C762,
,"Connelly, Neil",,762,C762,
,"Conniff, Richard",,762,C762,
,"Connors, Jimmy",,762,C762,
,"Conrad, Joseph",,764,C764,
,"Conroy, Pat",,764,C764,
,Conselho Federal de Contabilidade,,766,C766,
,Conselho Federal de Psicologia ,,766,C766,
,Conselho Regional de Contabilidade do Estado de São Paulo,,766,C766,
,"Conselho Regional de Psicologia do Estado de São Paulo, Regional 06 ",,766,C766,
,"Consiglio, Dulce Damasceno de Brito",,768,C768,
,"Consolin, Aércio Flávio",,769,C769,
,"Consoline, Renata Maria",,769,C769,
,Consórcio PCJ,,772,C772,
,"Consorte, Renato",,772,C772,
,"Conte, Giuliano",,777,C777,
,"Conti, José Bueno ",,779,C779,
,"Conti, Mario Sergio",,779,C779,
,"Contini, Maria de Lourdes Jeffery",,781,C781,
,"Contursi, Tânia Lúcia Bevilaqua",,782,C782,
,"Conwell, Russell H.",,783,C783,
,"Cony, Carlos Heitor",,784,C784,
,"Cook, Robin",,787,C787,
,"Cooley, Sheila",,787,C787,
,"Cooling, Ana Maria",,787,C787,
,"Coombs, Philip H.",,787,C787,
,"Cooper, Christopher",,788,C788,
,"Cooper, David",,788,C788,
,"Cooper, James Fenimore",,788,C788,
,"Cooper, Kenneth H. ",,788,C788,
,"Cooper, Parley",,788,C7881,DECIMAL ADICIONADO
,"Cooper, Robert",,788,C788,
,"Cooper, Rose",,788,C788,
,"Cooper, Susan",,788,C7882,DECIMAL ADICIONADO
,Cooperativa de Escritores Itatibense,,788,C788,
,Cooperativa Fluminense dos Produtores de Açúcar e Álcool,,788,C788,
,Copag,,788,C788,
,"Cope, Andrew",,788,C7883,DECIMAL ADICIONADO
,"Copérnico, Nicolau",,788,C788,
,"Coppel, Alfred",,791,C791,
,"Copperud, Roy H.",,791,C791,
,"Coquerel, Patrick Ramon Stafin",,792,C792,
,"Coqueret, André",,792,C792,
,Coquetel de Palavras Cruzadas,,792,C792,
,"Coracini, Maria José Rodrigues Faria",,794,C794,
,"Coralina, Cora",,795,C795,
,"Coran, Pierre",,797,C797,
,"Corassa, Neuza",,798,C798,
,"Corazza, Sonia",,81,C81,
,"Corbí, Marià",,813,C813,
,"Corção, Gustavo",,815,C815,
,"Corcuff, Philippe",,815,C815,
,"Cordeiro, Bellah Lete",,818,C818,
,"Cordeiro, Guilherme Victor M.",,819,C819,
,"Cordeiro, Jaime",,819,C819,
,"Cordeiro, Jaime Francisco Parreira",,819,C819,
,"Cordeiro, João",,819,C819,
,"Cordeiro, Renata",,821,C821,
,"Cordeiro, Renato",,821,C821,
,"Corder, Roger",,822,C822,
,"Corderoy, J.",,822,C822,
,"Corderoy, Tracey",,823,C823,
,"Coren, Stanley",,823,C823,
,"Corentin, Philippe",,828,C828,
,"Corey, Michael A.",,828,C828,
,"Coriasco, Franz",,829,C829,
,"Corley, Edwin",,832,C832,
,"Corman, Avery",,833,C833,
,"Corman, Louis",,833,C833,
,"Cormier, Robert",,833,C8331,DECIMAL ADICIONADO
,"Corneau, Guy",,834,C834,
,Corneille,,834,C834,
,"Cornejo, Carlos",,834,C834,
,"Cornes, Nathan",,834,C834,
,"Cornwell, Bernard",,835,C835,
,"Cornwell, Patricia",,835,C835,
,"Coronado, Osmar",,836,C836,
,"Corradin, Inos",,838,C838,
,"Corradini, Ana Paula",,838,C838,
,"Corradini, Inos",,838,C838,
,"Corral, José Luis",,839,C839,
,"Correa, Armando Lucas",,84,C84,
,"Corrêa, Arnaldo Amoroso",,84,C84,
,"Corrêa, Arsenio E.",,84,C84,
,"Correa, Avelino A.",,84,C84,
,"Correa, Cristiane",,841,C841,
,"Corrêa, Leonor",,843,C843,
,"Corrêa, Manoel Pio",,844,C844,
,"Corrêa, Ricardo",,845,C845,
,"Côrrea, Roberto",,845,C845,
,"Correia, Almir",,847,C847,
,"Correia, Clara Pinto",,847,C847,
,"Corrias, Pino",,85,C85,
,"Corrigan, Kelly",,85,C85,
,"Corrigan, Paul",,85,C85,
,"Corrijo, Inês Luci Machado",,85,C85,
,"Corrington, John William",,85,C85,
,"Corsaletti, Fabrício",,851,C851,
,"Cort, Ben",,854,C854,
,"Cortanze, Gérard de",,854,C854,
,"Cortázar, Júlio",,854,C854,
,"Cortella, Mario Sergio",,856,C856,
,"Cortês, Iáris Ramalho",,857,C857,
,"Cortez, Joaquim Roberto Pinto",,858,C858,
,"Corti, Ana Paula de Oliveira",,859,C859,
,"Corvisier, André",,863,C863,
,"Cosac, Charles",,865,C865,
,"Cossard, Gisèle Omindarewá",,869,C869,
,"Costa Filho, Alceu",,872,C872,
,"Costa Filho, Odylo",,872,C872,
,"Costa Junior, Martinho Alves da",,873,C873,
,"Costa Neto, Pedro Luiz de Oliveira",,874,C874,
,"Costa Netto, José Carlos",,874,C874,
,"Costa Val, Maria da Graça",,876,C876,
,"Costa, Alexandre Tadeu da",,87,C87,
,"Costa, Antonio Carlos Gomes da",,87,C87,
,"Costa, Antonio José da",,87,C87,
,"Costa, Armando Casimiro",,87,C87,
,"Costa, Auri Moura",,87,C87,
,"Costa, Bruno ",,87,C87,
,"Costa, Cadica",,871,C871,
,"Costa, Caio Tulio",,871,C871,
,"Costa, Carlos",,871,C871,
,"Costa, Clarice Nunes Ferreira",,871,C871,
,"Costa, Craveiro",,871,C871,
,"Costa, Cristiane",,871,C871,
,"Costa, Cristina",,871,C871,
,"Costa, Cruz",,871,C871,
,"Costa, Eduardo Alves",,871,C871,
,"Costa, Eduardo Alves da",,871,C8711,DECIMAL ADICIONADO
,"Costa, Eduardo R.",,871,C871,
,"Costa, Elisson Pereira da",,871,C871,
,"Costa, Emilia Viotti da",,871,C871,
,"Costa, Flávio Moreira da ",,872,C872,
,"Costa, Franz Rulli",,872,C872,
,"Costa, Frederico G.",,872,C872,
,"Costa, Gabriel Carneiro",,872,C872,
,"Costa, Helena Perim",,872,C872,
,"Costa, Iná Camargo",,872,C872,
,"Costa, Jefferson",,873,C873,
,"Costa, João Ribas da",,873,C873,
,"Costa, Liliana",,873,C873,
,"Costa, Lucio",,873,C873,
,"Costa, Luís César Amad",,873,C873,
,"Costa, Magno",,874,C874,
,"Costa, Marco Túlio",,874,C874,
,"Costa, Marcos de Faria",,874,C874,
,"Costa, Maria Cristina Castilho",,874,C874,
,"Costa, Maria Della",,874,C874,
,"Costa, Maria Luiza Andreozzi",,874,C874,
,"Costa, Marília São Paulo Penna e",,874,C8741,DECIMAL ADICIONADO
,"Costa, Marisa Vorraber",,874,C874,
,"Costa, Miguel",,874,C874,
,"Costa, Moacir",,874,C874,
,"Costa, Mônica Rodrigues da ",,874,C874,
,"Costa, Newton C. A. da",,874,C874,
,"Costa, Octavio",,874,C874,
,"Costa, Osvaldo Dias da ",,874,C874,
,"Costa, Paulo Gilberto Pereira da",,875,C875,
,"Costa, Roberto Aurélio Lustosa da",,875,C875,
,"Costa, Sergio Corrêa da",,875,C875,
,"Costa, Sérgio Roberto",,875,C875,
,"Costa, Suely Braz",,875,C876,
,"Costa, Viotti da",,876,C876,
,"Costa, Wagner",,876,C876,
,"Costa, Wanderley Messias da",,876,C876,
,"Costain, Meredith",,877,C877,
,"Costain, Thomas B.",,877,C877,
,"Costallat, Dalila Molina de",,878,C878,
,"Costallat, Fernanda Lavras",,878,C878,
,"Costanzo, Linda S.",,879,C879,
,"Costeau, Jacques",,88,C88,
,"Costilhes, Alain Jean",,88,C88,
,"Cotes, Cláudia",,883,C883,
,"Cotileau, Isabelle",,885,C885,
,"Cotrim, Ademaro A. M. B.",,887,C887,
,"Cotrim, Gilberto",,887,C887,
,"Cotton, F. Albert",,888,C888,
,"Coulanges, Fustel de",,892,C892,
,"Coulon, Alain",,892,C892,
,"Coulonges, Henri",,892,C892,
,"Coupland, Douglas",,892,C892,
,"Courthion, Pierre",,893,C893,
,"Courtin, Thierry",,893,C893,
,"Courtis, John",,893,C893,
,"Courtney, James E.",,893,C893,
,"Cousens, Gabriel",,893,C893,
,"Cousins, Dave",,893,C893,
,"Coutinho, Angela",,895,C895,
,"Coutinho, Elsimar Metzker",,895,C895,
,"Coutinho, Galeão",,896,C896,
,"Coutinho, Ismael de Lima",,896,C896,
,"Coutinho, Nilson de Oliveira",,897,C897,
,"Couto, A. J. Paula",,899,C899,
,"Couto, Hélio",,91,C91,
,"Couto, Maria Joana de Brito D'Elboux",,911,C911,
,"Couto, Mia",,911,C911,
,"Couto, Ribeiro",,912,C912,
,"Couto, Sérgio Pereira",,912,C912,
,"Covas, Mario",,913,C913,
,"Covello, Sergio Carlos",,914,C914,
,"Covey, Stephen",,914,C914,
,"Coward, Noel",,915,C915,
,"Cowell, Cressida",,915,C915,
,"Cowen, Robert C.",,915,C915,
,"Cowie, Vera",,915,C915,
,"Cowles, Virginia",,915,C915,
,"Cowman, Lettie",,915,C915,
,"Cox, Kenia Kodel",,916,C916,
,"Cox, Michael",,916,C916,
,"Cox, Simon",,916,C916,
,"Cox, W. Miles",,916,C916,
,"Coxe, George Harmon",,916,C916,
,"Coyne, John",,917,C917,
,"Cozby, Paul C.",,918,C918,
,"Cozzolino, Wagner",,919,C919,
,"Craig, James",,923,C923,
,"Crais, Robert",,923,C923,
,"Crane, Rebekah",,926,C9261,
,"Crane, Stephen",,926,C926,
,"Craven, Margaret",,93,C9301,
,"Cravens, Gwyneth",,93,C93,
,"Cravo, Antonieta B.",,931,C931,
,"Crawford, Christina",,932,C932,
,"Crawford, Joan",,932,C932,
,"Crawford, Mel",,932,C932,
,"Crawford, Richard",,932,C932,
,"Craze, Richard",,932,C932,
,"Crebbin, June",,933,C933,
,"Creder, Hélio",,935,C935,
,"Crema, Eduardo",,937,C937,
,"Cremasco, Marco Aurélio",,937,C937,
,"Crémieu, Aurine",,937,C937,
,"Crespo, Antônio Arnot",,94,C94,
,"Cresswell, John",,94,C94,
,"Cretella Junior, José",,943,C943,
,"Crevilare, Nei",,944,C944,
,"Criado, Eduardo",,946,C946,
,"Cribb, Joe",,946,C946,
,"Crichton, Michael",,946,C946,
,"Crider, Michael",,946,C946,
,"Crippa, Maria Antonietta",,948,C948,
,"Cristiano, Emanuel",,951,C951,
,"Cristina, Madre Maria",,951,C951,
,"Crocco, Luciano",,954,C954,
,"Crockford, H. D.",,954,C954,
,"Croffi, Benta Maria",,954,C954,
,"Crompton, Samuel Willard",,956,C956,
,"Cromwell, Oliver",,956,C956,
,"Cronin, A. J.",,957,C957,
,"Cronin, Justin",,957,C957,
,"Crosher, Judith",,958,C958,
,"Cross, Donna Woolfolk",,958,C9581,DECIMAL ADICIONADO
,"Cross, James Eliot",,958,C958,
,"Cross, Robin",,958,C958,
,"Crothers, Tim",,958,C958,
,"Crouch, Julia",,958,C958,
,"Crow, Lili St.",,958,C958,
,"Crowder, Bill",,958,C958,
,"Crowell, Jenn",,958,C958,
,"Cruls, Gastão",,959,C959,
,"Crumb, R.",,959,C959,
,"Crumbim, Paulo",,959,C959,
,Cruz e Sousa,,961,C961,
,"Cruz, Daniel",,961,C961,
,"Cruz, Eliana Alves S.",,961,C961,
,"Cruz, Flavia Souza da",,962,C962,
,"Cruz, José Marques da",,962,C962,
,"Cruz, Maiara Cristina da",,963,C963,
,"Cruz, Manuel Bento da",,963,C963,
,"Cruz, Nelson",,963,C963,
,"Cruz, Oswaldo",,963,C963,
,"Cruz, Roberto",,964,C964,
,"Cruz, Roger ",,964,C964,
,"Cruz, São João da",,964,C964,
,"Cruz, Sebastião C. Velasco e",,964,C964,
,"Cruz, Valdir",,965,C965,
,"Cruz, Vitor",,965,C965,
,"Csikszentmihalyi, Mihaly",,968,C968,
,"Cucciari, Geppi",,971,C971,
,"Cuche, Denys",,971,C971,
,"Cuder, Ana Maria Cristina",,971,C971,
,"Cuenca, J. P.",,972,C972,
,"Cuevas, Michelle",,972,C972,
,"Cuhulain, Kerr",,972,C972,
,"Cuin, Waldenir Aparecido",,973,C973,
,"Culbertson, Jon R.",,974,C974,
,"Cullen, Kay",,974,C974,
,"Cullin, Mitch",,974,C974,
,"Cumino, Alexandre",,975,C975,
,"Cumming, Robert",,975,C975,
,"Cummins, Richard O.",,975,C975,
,"Cunha, A. G.",,977,C977,
,"Cunha, Antônio Geraldo da",,977,C977,
,"Cunha, Ayres Câmara",,977,C977,
,"Cunha, Beatriz Monteiro da",,977,C977,
,"Cunha, Carlos da ",,977,C977,
,"Cunha, Carolina",,977,C977,
,"Cunha, Célio da ",,977,C977,
,"Cunha, Celso",,977,C977,
,"Cunha, Ciro Vieira da",,977,C977,
,"Cunha, Euclides da",,977,C977,
,"Cunha, Fernando Whitaker",,978,C978,
,"Cunha, Ferreira da ",,978,C978,
,"Cunha, Gervásio",,978,C978,
,"Cunha, Helena Parente",,978,C978,
,"Cunha, José Auri",,978,C978,
,"Cunha, Jurema Alcides",,978,C978,
,"Cunha, Leo",,978,C978,
,"Cunha, Luiz Antonio",,978,C978,
,"Cunha, M. A. Versiani",,979,C979,
,"Cunha, Marcus Vinícius ",,979,C979,
,"Cunha, Maria Antonieta Antunes",,979,C979,
,"Cunha, Maria Isabel da",,979,C9791,DECIMAL ADICIONADO
,"Cunha, Renato",,98,C98,
,"Cunningham, Daniel",,981,C981,
,"Cunningham, E. V.",,981,C981,
,"Cunningham, Michael",,981,C981,
,"Cunningham, Scott",,981,C981,
,"Cunxin, Li",,982,C982,
,"Curi, Samir Meserani",,985,C985,
,"Curie, Marie",,985,C985,
,"Curran, Bob",,986,C986,
,Curso de idiomas Globo,,986,C986,
,"Curti, Rino",,987,C987,
,"Curto, Rosa M.",,987,C987,
,"Curvello, Mário",,987,C987,
,"Curvo, João",,987,C987,
,"Cury, Augusto",,988,C988,
,"Cury, Carlos Roberto Jamil",,988,C9882,DECIMAL ADICIONADO
,"Cury, Helena Noronha",,988,C988,
,"Cuschnir, Luiz",,988,C9881,DECIMAL ADICIONADO
,"Cussler, Clive",,99,C99,
,"Custodio, Rosa Maria",,99,C99,
,"Cutler, Phillip",,993,C993,
,"Cutler, Ronald",,993,C993,
,"Cutrufelli, Maria Rosa",,993,C993,
,"Cuvillier, Armand",1887-1973,994,C994,
,"Cymrot, Paulina",,996,C996,
,"Cyrino, Hélio",1948-,997,C997,
,"Cyrulnik, Boris",,,C997,
,"Cyrus, Miller",,997,C997,
,"Czihos, Joaquim",,999,C999,
,Da Vinci,,11,D11,
,"Dadalt, Ivanira de Souza Lima",,121,D121,
,"D'Adamo, Peter",,121,D121,
,"Daemon, Dalton",,123,D123,
,"Daglio, Juliana",,127,D127,
,"D'Agostini, Orfeu Gilberto",,127,D127,
,"D'Aguiar, Hernani",,128,D128,
,"Dahdah, Denise",,129,D129,
,"Daher, Andrea",,129,D129,
